id,sentence_A,sentence_B,relatedness
42,Two people are kickboxing and spectators are not watching,Two people are kickboxing and spectators are watching,3.4
43,Two spectators are kickboxing and some people are watching,Two people are kickboxing and spectators are watching,4
44,Two young women are sparring in a kickboxing fight,Two women are sparring in a kickboxing match,4.9
45,Two young women are not sparring in a kickboxing fight,Two women are sparring in a kickboxing match,3.9
46,Two people are kickboxing and spectators are watching,Two young women are sparring in a kickboxing fight,3.9
47,Two people are kickboxing and spectators are watching,Two young women are not sparring in a kickboxing fight,3.415
48,Two women are sparring in a kickboxing match,Two people are fighting and spectators are watching,3.7
49,Two women are sparring in a kickboxing match,Two people are kickboxing and spectators are not watching,3.7
50,Two spectators are kickboxing and some people are watching,Two women are sparring in a kickboxing match,3.6
51,Two people are kickboxing and spectators are watching,Two women are sparring in a kickboxing match,3.9
52,Kids in red shirts are playing in the leaves,Children in red shirts are playing in the leaves,4.9
53,Children in red shirts are playing in the leaves,Children in red shirts are sleeping in the leaves,4
54,Children in red shirts are playing in the leaves,Children covered by leaves are playing with red shirts,3.9
55,Three boys are jumping in the leaves,Three kids are jumping in the leaves,4.4
56,Three kids are sitting in the leaves,Three kids are jumping in the leaves,3.8
57,Three boys are jumping in the leaves,Children in red shirts are playing in the leaves,4.1
58,Children in red shirts are playing in the leaves,Three kids are sitting in the leaves,3.5
59,Kids in red shirts are playing in the leaves,Three kids are jumping in the leaves,3.9
60,Children in red shirts are sleeping in the leaves,Three kids are jumping in the leaves,3.1
61,Children covered by leaves are playing with red shirts,Three kids are jumping in the leaves,3.9
62,Children in red shirts are playing in the leaves,Three kids are jumping in the leaves,4
63,Two children are lying in the snow and are drawing angels,Two children are lying in the snow and are making snow angels,4.4
64,Two children are lying in the snow and are making snow angels,There is no child lying in the snow and making snow angels,3.8
65,Two angels are making snow on the lying children,Two children are lying in the snow and are making snow angels,2.9
66,Two people wearing snowsuits are on the ground making snow angels,Two people in snowsuits are lying in the snow and making snow angels,4.8
67,Two people in snowsuits are lying in the snow and making snow angels,Nobody in snowsuits is lying in the snow and making snow angels,4.1
68,Two children are lying in the snow and are making snow angels,Two people wearing snowsuits are on the ground making snow angels,4.6
69,Two children are lying in the snow and are making snow angels,Nobody in snowsuits is lying in the snow and making snow angels,3.6
70,Two children are lying in the snow and are drawing angels,Two people in snowsuits are lying in the snow and making snow angels,4.1
71,There is no child lying in the snow and making snow angels,Two people in snowsuits are lying in the snow and making snow angels,3.3
72,Two people in snowsuits are lying in the snow and making snow angels,Two angels are making snow on the lying children,2.5
73,Two children are lying in the snow and are making snow angels,Two people in snowsuits are lying in the snow and making snow angels,4.2
74,A little girl is looking at a woman in costume,A young girl is looking at a woman in costume,4.7
75,A little girl is looking at a woman in costume,The little girl is looking at a man in costume,3.8
76,A little girl is looking at a woman in costume,A little girl in costume looks like a woman,2.9
77,People wearing costumes are gathering in a forest and are looking in the same direction,Masked people are looking in the same direction in a forest,4.4
78,People wearing costumes are gathering in a forest and are looking in the same direction,People wearing costumes are scattering in a forest and are looking in different directions,3.2
79,People are looking at some costumes gathered in the vicinity of the forest,People wearing costumes are gathering in a forest and are looking in the same direction,3.635
80,Masked people are looking in the same direction in a forest,A little girl is looking at a woman in costume,1.3
81,A little girl is looking at a woman in costume,People wearing costumes are scattering in a forest and are looking in different directions,2.4
82,A little girl is looking at a woman in costume,People are looking at some costumes gathered in the vicinity of the forest,2.6
83,A young girl is looking at a woman in costume,People wearing costumes are gathering in a forest and are looking in the same direction,2.2
84,People wearing costumes are gathering in a forest and are looking in the same direction,The little girl is looking at a man in costume,3
85,People wearing costumes are gathering in a forest and are looking in the same direction,A little girl in costume looks like a woman,2
86,A little girl is looking at a woman in costume,People wearing costumes are gathering in a forest and are looking in the same direction,2.6
87,A lone biker is jumping in the air,"A biker is jumping in the air, alone",5
88,There is no biker jumping in the air,A lone biker is jumping in the air,4.2
89,A man is jumping into an empty swimming pool,A man is jumping into an empty pool,4.8
90,A man is jumping into an empty pool,A man is jumping into a full pool,3
91,A man is jumping into an empty pool,The man's jumper is in the empty pool,3.1
92,A lone biker is jumping in the air,A man is jumping into an empty swimming pool,1.6
93,A lone biker is jumping in the air,A man is jumping into a full pool,1.7
94,The man's jumper is in the empty pool,A lone biker is jumping in the air,1.4
95,A man is jumping into an empty pool,"A biker is jumping in the air, alone",1.6
96,A man is jumping into an empty pool,There is no biker jumping in the air,1.2
97,A lone biker is jumping in the air,A man is jumping into an empty pool,1.5
98,Four kids are doing backbends in the park,Four children are doing backbends in the park,4.8
99,Four children are doing backbends in the gym,Four children are doing backbends in the park,3.8
100,Four girls are doing backbends and playing in the garden,Four girls are doing backbends and playing outdoors,4.1
101,Four girls are doing backbends and playing outdoors,Four girls are doing backbends and playing indoors,4
102,Four girls are doing backbends and playing in the garden,Four children are doing backbends in the park,3.7
103,Four girls are doing backbends and playing indoors,Four children are doing backbends in the park,3.7
104,Four kids are doing backbends in the park,Four girls are doing backbends and playing outdoors,4.3
105,Four children are doing backbends in the gym,Four girls are doing backbends and playing outdoors,3.8
106,Four girls are doing backbends and playing outdoors,Four children are doing backbends in the park,4.1
107,A man who is playing is running with the ball in his hands,A player is running with the ball,4.3
108,A player is throwing the ball,A player is running with the ball,3.5
109,Two groups of people are playing football,Two teams are competing in a football match,4.7
110,Two teams are competing in a football match,Two teams are competing in a baseball game,3.9
111,Two teams are competing in a football match,Football is being played by two competing teams,4.8
112,Two groups of people are playing football,A player is running with the ball,2.1
113,Two teams are competing in a baseball game,A player is running with the ball,3
114,A player is running with the ball,Football is being played by two competing teams,3
115,Two teams are competing in a football match,A man who is playing is running with the ball in his hands,2.7
116,A player is throwing the ball,Two teams are competing in a football match,2.9
117,A player is running with the ball,Two teams are competing in a football match,2.6
118,Five children are standing in front of a wooden hut,Five children are standing in front of a hut made of wood,4.8
119,Five children are standing in front of a wooden hut,Five children are standing in a wooden hut,4.2
120,Five wooden stands are in front of each child's hut,Five children are standing in front of a wooden hut,3.2
121,Five kids are standing close together and one kid has a gun,Five kids are standing close together and one kid has a weapon,4.8
122,Five kids are standing close together and one kid has a gun,Five kids are standing close together and none of the kids has a gun,3.7
123,Five children are standing in front of a wooden hut,Five kids are standing close together and one kid has a weapon,2.8
124,Five kids are standing close together and none of the kids has a gun,Five children are standing in front of a wooden hut,2.6
125,Five children are standing in front of a hut made of wood,Five kids are standing close together and one kid has a gun,3
126,Five children are standing in a wooden hut,Five kids are standing close together and one kid has a gun,2.7
127,Five wooden stands are in front of each child's hut,Five kids are standing close together and one kid has a gun,2.3
128,Five children are standing in front of a wooden hut,Five kids are standing close together and one kid has a gun,2.3
129,An old man is sitting in a field,A man is sitting in a field,4.4
130,A man is sitting in a field,A man is running in a field,2.6
131,A person is wearing a hat and is sitting on the grass,A person is sitting in a field and is wearing a hat,4.1
132,A person is wearing a hat and is sitting on the grass,There is no person wearing a hat and sitting on the grass,3.3
133,A person is sitting and wearing a grass hat,A person is wearing a hat and is sitting on the grass,3.4
134,A person is sitting in a field and is wearing a hat,A man is sitting in a field,4
135,A man is sitting in a field,There is no person wearing a hat and sitting on the grass,2.7
136,A person is sitting and wearing a grass hat,A man is sitting in a field,3.3
137,An old man is sitting in a field,A person is wearing a hat and is sitting on the grass,2.8
138,A person is wearing a hat and is sitting on the grass,A man is running in a field,1.4
139,A man is sitting in a field,A person is wearing a hat and is sitting on the grass,3.8
140,The current is being ridden by a group of friends in a raft,A group of friends are riding the current in a raft,4.9
141,A group of friends are riding the current in a raft,A group is not riding the current in a raft,3.7
142,This group of people is practicing water safety and wearing preservers,Preservers are being worn by a group of people who are practicing water safety,4.9
143,Nobody is practicing water safety and wearing preservers,This group of people is practicing water safety and wearing preservers,3.4
144,A group of friends are riding the current in a raft,Preservers are being worn by a group of people who are practicing water safety,2.9
145,Nobody is practicing water safety and wearing preservers,A group of friends are riding the current in a raft,2.2
146,The current is being ridden by a group of friends in a raft,This group of people is practicing water safety and wearing preservers,3.2
147,A group is not riding the current in a raft,This group of people is practicing water safety and wearing preservers,2.8
148,A group of friends are riding the current in a raft,This group of people is practicing water safety and wearing preservers,3.1
149,A deer is jumping over a fence,A deer is jumping over the enclosure,4.535
150,A deer is jumping over a fence,A deer isn't jumping over the fence,3.9
151,A wild deer is jumping a fence,A deer is jumping a fence,4.8
152,A deer is jumping a fence,There is no deer jumping fences,4.1
153,A wild deer is jumping a fence,A deer is jumping over a fence,4.5
154,There is no deer jumping fences,A deer is jumping over a fence,2.685
155,A deer is jumping over the enclosure,A deer is jumping a fence,4.2
156,A deer is jumping a fence,A deer isn't jumping over the fence,3.55
157,A deer is jumping over a fence,A deer is jumping a fence,4.9
158,People are walking outside a building that has many murals on it,People are walking outside the building that has several murals on it,4.7
159,People are walking inside a building that has many murals on it,People are walking outside a building that has many murals on it,3.4
160,Several people are in front of a building which is covered by colors,Several people are in front of a colorful building,4.7
161,Several people are in front of a colorful building,Nobody is in front of the colorful building,3.5
162,Several people are in front of a building which is covered by colors,People are walking outside a building that has many murals on it,3.8
163,People are walking outside a building that has many murals on it,Nobody is in front of the colorful building,3.6
164,People are walking outside the building that has several murals on it,Several people are in front of a colorful building,3.6
165,Several people are in front of a colorful building,People are walking inside a building that has many murals on it,3.4
166,People are walking outside a building that has many murals on it,Several people are in front of a colorful building,3.7
167,A boy is hitting a baseball,A child is hitting a baseball,4.4
168,A child is hitting a baseball,A child is missing a baseball,3.8
169,A family is watching a little boy who is hitting a baseball,A family is watching a boy who is hitting a baseball,4.6
170,A family is watching a little boy who is hitting a baseball,A family is watching a little boy who is missing a baseball,3.9
171,A little boy is watching a family that is hitting a baseball,A family is watching a little boy who is hitting a baseball,3.7
172,A family is watching a boy who is hitting a baseball,A child is hitting a baseball,3.7
173,A child is hitting a baseball,A family is watching a little boy who is missing a baseball,3.015
174,A little boy is watching a family that is hitting a baseball,A child is hitting a baseball,3.7
175,A family is watching a little boy who is hitting a baseball,A boy is hitting a baseball,4.2
176,A child is missing a baseball,A family is watching a little boy who is hitting a baseball,2.7
177,A family is watching a little boy who is hitting a baseball,A child is hitting a baseball,4.1
178,A large group of Asian people is eating at a restaurant,A group of people from Asia is eating at a restaurant,4.8
179,A large group of Asian people is eating at a restaurant,A small group of people is waiting to eat in a restaurant,3.4
180,A large group of Asian people is eating at a restaurant,A group of people in a large Asian restaurant is eating,3.5
181,Various people are eating at red tables in a crowded restaurant with purple lights,Various customers are eating in a crowded restaurant with purple lights,4.6
182,Few people are eating at red tables in a restaurant without lights,Various people are eating at red tables in a crowded restaurant with purple lights,3.2
183,A purple crowd of people is eating on various red lit restaurant tables,Various people are eating at red tables in a crowded restaurant with purple lights,3.3
184,A large group of Asian people is eating at a restaurant,Various customers are eating in a crowded restaurant with purple lights,2.9
185,Few people are eating at red tables in a restaurant without lights,A large group of Asian people is eating at a restaurant,2.6
186,A purple crowd of people is eating on various red lit restaurant tables,A large group of Asian people is eating at a restaurant,3.1
187,A group of people from Asia is eating at a restaurant,Various people are eating at red tables in a crowded restaurant with purple lights,3
188,Various people are eating at red tables in a crowded restaurant with purple lights,A small group of people is waiting to eat in a restaurant,3.2
189,A group of people in a large Asian restaurant is eating,Various people are eating at red tables in a crowded restaurant with purple lights,3.3
190,A large group of Asian people is eating at a restaurant,Various people are eating at red tables in a crowded restaurant with purple lights,3.3
191,A motorcycle rider is standing up on the seat of a white motorcycle,A motorcycle is riding standing up on the seat of the vehicle,4.1
192,A motorcycle rider is standing up on the seat of a white motorcycle,No motorcycle rider is standing up on the seat of a motorcycle,3.8
193,Someone is on a black and white motorcycle and is standing on the seat,A rider is on a black and white bike and is standing on the seat,4.6
194,Nobody is on a motorcycle and is standing on the seat,Someone is on a black and white motorcycle and is standing on the seat,3.7
195,A rider is on a black and white bike and is standing on the seat,A motorcycle rider is standing up on the seat of a white motorcycle,3.6
196,Nobody is on a motorcycle and is standing on the seat,A motorcycle rider is standing up on the seat of a white motorcycle,3.6
197,Someone is on a black and white motorcycle and is standing on the seat,A motorcycle is riding standing up on the seat of the vehicle,3.165
198,Someone is on a black and white motorcycle and is standing on the seat,No motorcycle rider is standing up on the seat of a motorcycle,3.6
199,Someone is on a black and white motorcycle and is standing on the seat,A motorcycle rider is standing up on the seat of a white motorcycle,3.7
200,A motorcyclist is riding a motorbike dangerously along a roadway,A motorcyclist is riding a motorbike along a roadway,4.6
201,There is no motorcyclist riding a motorbike along a roadway,A motorcyclist is riding a motorbike along a roadway,3.7
202,A man with a helmet painted red is riding a blue motorcycle down the road,A motorcyclist with a red helmet is riding a blue motorcycle down the road,4.8
203,A motorcyclist with a red helmet is riding a blue motorcycle down the road,A motorcyclist without a helmet is waiting on a blue motorcycle near the road,3.7
204,A man with a helmet painted red is riding a blue motorcycle down the road,A motorcyclist is riding a motorbike along a roadway,4
205,A motorcyclist without a helmet is waiting on a blue motorcycle near the road,A motorcyclist is riding a motorbike along a roadway,3.3
206,A motorcyclist with a red helmet is riding a blue motorcycle down the road,A motorcyclist is riding a motorbike dangerously along a roadway,3.8
207,There is no motorcyclist riding a motorbike along a roadway,A motorcyclist with a red helmet is riding a blue motorcycle down the road,3.3
208,A motorcyclist with a red helmet is riding a blue motorcycle down the road,A motorcyclist is riding a motorbike along a roadway,4.5
209,A dog is catching a stick in the air and another is watching,A dog is leaping high in the air and another is watching,4.2
210,There is no dog leaping in the air,A dog is leaping high in the air and another is watching,3.3
211,Two dogs are playing by a tree,Two dogs are playing by a plant,4.6
212,Two dogs are playing by a tree,Two dogs are sleeping by a tree,3.565
213,A dog is leaping high in the air and another is watching,Two dogs are playing by a plant,2.8
214,A dog is leaping high in the air and another is watching,Two dogs are sleeping by a tree,2.6
215,Two dogs are playing by a tree,A dog is catching a stick in the air and another is watching,3.7
216,Two dogs are playing by a tree,There is no dog leaping in the air,2.7
217,Two dogs are playing by a tree,A dog is leaping high in the air and another is watching,3
218,A girl in white is dancing,A girl is wearing white clothes and is dancing,4.9
219,There is no girl in white dancing,A girl in white is dancing,4.2
220,The dancer is dancing in front of the sound equipment,The blond girl is dancing in front of the sound equipment,4.4
221,The blond girl is dancing behind the sound equipment,The blond girl is dancing in front of the sound equipment,3.9
222,The blond girl is dancing in front of the sound equipment,The equipment in front of the blond dancing girl is sound,3.9
223,A girl in white is dancing,The dancer is dancing in front of the sound equipment,4
224,A girl in white is dancing,The blond girl is dancing behind the sound equipment,3.3
225,The equipment in front of the blond dancing girl is sound,A girl in white is dancing,2.7
226,A girl is wearing white clothes and is dancing,The blond girl is dancing in front of the sound equipment,3.5
227,The blond girl is dancing in front of the sound equipment,There is no girl in white dancing,3.3
228,A girl in white is dancing,The blond girl is dancing in front of the sound equipment,3.3
229,The children of a family are patiently playing and waiting,The children of a family are playing and waiting,4.5
230,The children of a family are playing and waiting,There are no children playing and waiting,3.1
231,Three Asian kids are dancing and a serious man is looking,Three Asian kids are dancing and a man is looking,4.5
232,Three Asian kids are dancing and a man is looking,Three Asian kids are dancing and there is no man looking,3.9
233,Three Asian kids are dancing and a man is looking,An Asian man is dancing and three kids are looking,3.7
234,The children of a family are playing and waiting,Three Asian kids are dancing and a serious man is looking,1.9
235,The children of a family are playing and waiting,Three Asian kids are dancing and there is no man looking,2.7
236,The children of a family are playing and waiting,An Asian man is dancing and three kids are looking,1.9
237,The children of a family are patiently playing and waiting,Three Asian kids are dancing and a man is looking,2.3
238,There are no children playing and waiting,Three Asian kids are dancing and a man is looking,1.6
239,Three Asian kids are dancing and a man is looking,The children of a family are playing and waiting,2.3
240,A woman is wearing an Egyptian hat on her head,A woman is wearing an Egyptian headdress,4.3
241,A woman is wearing an Egyptian headdress,A woman is wearing an Indian headdress,4
242,A woman is wearing an Egyptian headdress,An Egyptian is wearing a woman's headdress,3.9
243,The woman is wearing glasses and a black headdress,The woman with a black hat is wearing sunglasses,3.9
244,The woman is not wearing glasses or a headdress,The woman is wearing glasses and a black headdress,3.9
245,The black woman is wearing glasses over the headdress,The woman is wearing glasses and a black headdress,3.7
246,A woman is wearing an Egyptian headdress,The woman with a black hat is wearing sunglasses,2.3
247,The woman is not wearing glasses or a headdress,A woman is wearing an Egyptian headdress,3.6
248,The black woman is wearing glasses over the headdress,A woman is wearing an Egyptian headdress,3.6
249,A woman is wearing an Egyptian hat on her head,The woman is wearing glasses and a black headdress,2.5
250,A woman is wearing an Indian headdress,The woman is wearing glasses and a black headdress,3
251,The woman is wearing glasses and a black headdress,An Egyptian is wearing a woman's headdress,3.1
252,The woman is wearing glasses and a black headdress,A woman is wearing an Egyptian headdress,3.8
253,A hiker is on top of the mountain and is doing a joyful dance,A hiker is on top of the mountain and is dancing,4.7
254,A hiker is on top of the mountain and is dancing,There is no hiker dancing on top of the mountain,3.2
255,A man is on a rock high above some trees and is standing in an uncomfortable position,A man is on a rock high above some trees and is standing in a strange position,4.2
256,There is no man on a rock high above some trees standing in a strange position,A man is on a rock high above some trees and is standing in a strange position,4.3
257,A hiker is on top of the mountain and is dancing,A man is on a rock high above some trees and is standing in an uncomfortable position,2.5
258,A hiker is on top of the mountain and is dancing,There is no man on a rock high above some trees standing in a strange position,2.5
259,A man is on a rock high above some trees and is standing in a strange position,A hiker is on top of the mountain and is doing a joyful dance,2.9
260,There is no hiker dancing on top of the mountain,A man is on a rock high above some trees and is standing in a strange position,2.4
261,A man is on a rock high above some trees and is standing in a strange position,A hiker is on top of the mountain and is dancing,3.2
262,A cowgirl is riding a brown horse and is cornering a barrel,A cowgirl is riding a horse and corners a barrel,4.7
263,A cowboy is riding a horse and cornering a barrel,A cowgirl is riding a horse and corners a barrel,4.1
264,A cowgirl is riding a barrel near a horse in the corner,A cowgirl is riding a horse and corners a barrel,2.8
265,The brown horse is very near a red barrel at the rodeo,The brown horse is near a red barrel at the rodeo,4.8
266,The brown horse is near a red barrel at the rodeo,The brown horse is far from a red barrel at the rodeo,3.6
267,The brown horse is very near a red barrel at the rodeo,A cowgirl is riding a horse and corners a barrel,2.9
268,The brown horse is far from a red barrel at the rodeo,A cowgirl is riding a horse and corners a barrel,2.5
269,A cowgirl is riding a brown horse and is cornering a barrel,The brown horse is near a red barrel at the rodeo,3.2
270,A cowboy is riding a horse and cornering a barrel,The brown horse is near a red barrel at the rodeo,3.7
271,The brown horse is near a red barrel at the rodeo,A cowgirl is riding a barrel near a horse in the corner,3.1
272,A cowgirl is riding a horse and corners a barrel,The brown horse is near a red barrel at the rodeo,3.8
273,A boy is standing in the cold water,A boy is standing in the water,4.1
274,A boy is standing outside the water,A boy is standing in the water,3.6
275,The kid is swimming through the blue ocean,The boy is wading through the blue ocean,4.2
276,The boy is sitting near the blue ocean,The boy is wading through the blue ocean,3.2
277,A boy is standing in the water,The kid is swimming through the blue ocean,3
278,A boy is standing in the water,The boy is sitting near the blue ocean,2.8
279,The boy is wading through the blue ocean,A boy is standing in the cold water,3.3
280,A boy is standing outside the water,The boy is wading through the blue ocean,3.135
281,A boy is standing in the water,The boy is wading through the blue ocean,4
282,A skilled man is playing a guitar on stage,A man is playing a guitar on stage,4.6
283,A man is playing a guitar on stage,There is no man playing a guitar on stage,3.6
284,A person has blonde and flyaway hair and is playing a guitar,A guitarist has blonde and flyaway hair,4.7
285,A bald person is playing a guitar,A person has blonde and flyaway hair and is playing a guitar,3.9
286,A man is playing a guitar on stage,A guitarist has blonde and flyaway hair,3
287,A man is playing a guitar on stage,A bald person is playing a guitar,3.8
288,A skilled man is playing a guitar on stage,A person has blonde and flyaway hair and is playing a guitar,3.8
289,There is no man playing a guitar on stage,A person has blonde and flyaway hair and is playing a guitar,3.4
290,A man is playing a guitar on stage,A person has blonde and flyaway hair and is playing a guitar,3
291,Several children are sitting down and have their knees raised,Several children are lying down and are raising their knees,4
292,Several children are sitting down and have their knees raised,Several children are standing up,3.285
293,Two young girls are sitting on the ground,Two girls are sitting on the ground,4.4
294,Two girls are lying on the ground,Two girls are sitting on the ground,3.8
295,Two young girls are sitting on the ground,Several children are sitting down and have their knees raised,2.9
296,Two girls are lying on the ground,Several children are sitting down and have their knees raised,2.8
297,Several children are lying down and are raising their knees,Two girls are sitting on the ground,2.3
298,Several children are standing up,Two girls are sitting on the ground,1.8
299,Several children are sitting down and have their knees raised,Two girls are sitting on the ground,3.2
300,A nude lady is walking in front of many people in body paint,A nude lady is walking in front of a crowd in body paint,4.7
301,A nude lady is walking in front of a crowd in body paint,There is no lady walking in body paint in front of a crowd ,2.9
302,A nude lady is walking in front of a crowd in body paint,A nude crowd in body paint is walking in front of a lady ,3.1
303,"A young, topless woman is covered in paint",A topless girl is covered in paint,4.4
304,"An old, topless woman is covered in paint","A young, topless woman is covered in paint",3.8
305,A nude lady is walking in front of a crowd in body paint,A topless girl is covered in paint,3.8
306,"An old, topless woman is covered in paint",A nude lady is walking in front of a crowd in body paint,3.1
307,"A young, topless woman is covered in paint",A nude lady is walking in front of many people in body paint,3.5
308,There is no lady walking in body paint in front of a crowd ,"A young, topless woman is covered in paint",3.2
309,A nude crowd in body paint is walking in front of a lady ,"A young, topless woman is covered in paint",3
310,A nude lady is walking in front of a crowd in body paint,"A young, topless woman is covered in paint",4.2
311,A group of people is near the ocean,A crowd of people is near the water,4.3
312,A crowd of people is near the water,A crowd of people is far from the water,3.8
313,A group of children in uniforms is standing at a gate and one is kissing the mother,A group of children wearing the same clothes is waiting at a gate and one is kissing the mother,4.5
314,A group of children in uniforms is standing at a gate and there is no one kissing the mother,A group of children in uniforms is standing at a gate and one is kissing the mother,3.8
315,A group of mothers in uniforms is standing near the children and one is kissing the gate,A group of children in uniforms is standing at a gate and one is kissing the mother,3.3
316,A crowd of people is near the water,A group of children wearing the same clothes is waiting at a gate and one is kissing the mother,1.6
317,A group of children in uniforms is standing at a gate and there is no one kissing the mother,A crowd of people is near the water,1.3
318,A group of mothers in uniforms is standing near the children and one is kissing the gate,A crowd of people is near the water,1.7
319,A group of people is near the ocean,A group of children in uniforms is standing at a gate and one is kissing the mother,1.8
320,A crowd of people is far from the water,A group of children in uniforms is standing at a gate and one is kissing the mother,1
321,A crowd of people is near the water,A group of children in uniforms is standing at a gate and one is kissing the mother,1.9
322,A man is in a parking lot and is playing tennis against a large wall,A lone man is in a parking lot and is playing tennis against a large wall,4.7
323,A man is in a parking lot and is playing tennis against a large wall,A man is in a parking lot and is playing tennis against a friend,3.9
324,A man is pointing at a silver sedan,A man is pointing at a car,4.4
325,A man is pointing at a silver sedan,There is no man pointing at a car,4.1
326,A man is pointing at a car,A man is in a parking lot and is playing tennis against a large wall,2.3
327,A man is in a parking lot and is playing tennis against a large wall,There is no man pointing at a car,1.5
328,A man is pointing at a silver sedan,A lone man is in a parking lot and is playing tennis against a large wall,1.4
329,A man is in a parking lot and is playing tennis against a friend,A man is pointing at a silver sedan,1.3
330,A man is pointing at a silver sedan,A man is in a parking lot and is playing tennis against a large wall,1.3
331,A group of people is on a beach,A group of people is near the sea,4
332,A group of people is on a beach,A group of people is on a mountain,2.6
333,"A man, a woman and two girls are walking on the beach",Four people are walking on the beach,4.5
334,"A man, a woman and two girls are walking on the beach","A man, a woman and two girls are sitting on the beach",3.1
335,A group of people is on a beach,Four people are walking on the beach,4.6
336,"A man, a woman and two girls are sitting on the beach",A group of people is on a beach,4.4
337,"A man, a woman and two girls are walking on the beach",A group of people is near the sea,3.8
338,"A man, a woman and two girls are walking on the beach",A group of people is on a mountain,1.4
339,"A man, a woman and two girls are walking on the beach",A group of people is on a beach,4.3
340,A schoolgirl with a black bag is on a crowded train,A girl with a black bag is on a crowded train,4.7
341,There is no girl with a black bag on a crowded train,A girl with a black bag is on a crowded train,3.7
342,A girl with a black bag is on a crowded train,A cramped black train is on the bag of a girl,2.7
343,An Asian woman in a crowd is carrying a black bag,An Asian woman in in the midst of many people is carrying a black bag,4.8
344,An Asian woman in a crowd is not carrying a black bag,An Asian woman in a crowd is carrying a black bag,3.8
345,An Asian woman in in the midst of many people is carrying a black bag,A girl with a black bag is on a crowded train,3.5
346,A girl with a black bag is on a crowded train,An Asian woman in a crowd is not carrying a black bag,2.5
